date,index_level,divisor,notes
2024-04-27,2383.502442690718,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-28,2371.84892897407,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-29,2398.425403983465,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-04-30,2277.71514468245,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-01,2189.8609545283725,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-02,2221.8752348741077,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-03,2364.742577978204,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-04,2401.176249530252,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-05,2407.6475009394962,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-06,2373.607666290868,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-07,2342.164599774521,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-08,2298.8387824126266,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-09,2369.481397970688,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-10,2284.6523863209322,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-11,2285.043216835776,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-12,2309.0792934986844,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-13,2364.1488162344986,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-14,2313.739195791056,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-15,2489.0266816986095,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-16,2451.2739571589627,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-17,2519.485155956407,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-18,2514.8440435926345,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-19,2490.1315295001878,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-20,2683.506200676438,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-21,2636.042841037204,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-22,2598.421645997745,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-23,2553.2055618188656,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-24,2575.689590379557,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-25,2603.483652762119,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-26,2573.333333333333,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-27,2607.207816610297,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-28,2567.639984968057,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-29,2539.4738819992485,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-30,2569.1469372416386,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-05-31,2536.568959037956,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-01,2544.802705749718,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-02,2545.249906050357,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-03,2585.494175122135,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-04,2651.5821119879747,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-05,2672.06313416009,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-06,2658.8538143555056,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-07,2604.922961292747,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-08,2603.964674934235,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-09,2617.433295753476,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-10,2612.6305900037582,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-11,2530.9507703870727,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-12,2564.212701991732,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-13,2508.6997369409996,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-14,2479.973694099963,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-15,2487.7151446824505,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-16,2504.148816234498,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-17,2498.5945133408495,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-18,2449.0680195415257,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-19,2440.774145058249,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-20,2436.426155580609,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-21,2408.414130026306,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-22,2414.6185644494553,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-23,2374.148816234498,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-24,2265.9526493799326,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-25,2322.209695603157,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-26,2285.422773393461,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-27,2315.5618188650883,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-28,2266.801954152574,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-29,2287.1101089815857,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-06-30,2355.5167230364527,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-07-01,2362.2134535888763,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-07-02,2330.698985343856,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-07-03,2260.3006388575723,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-07-04,2142.8447951897783,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-07-05,2128.902668169861,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-07-06,2188.459225854942,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-07-07,2098.6621570838033,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-07-08,2130.7515971439307,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
